StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q39,Q40,Q41,Q42,Q43,DT1_1,DT1_2,DT1_3,DT1_4,DT1_5,DB1_1,DB1_2,DB1_3,DB1_4,DB1_5,Conj_A_DB_1,Conj_B_DB_1,Conj_DB_1,Exp_Conj_DB,Disj_A_DB_1,Disj_B_DB_1,Disj_DB_1,Exp_Disj_DB,Normal_A_Conj_Left_1,Normal_A_Con_Right_1,Conj_A_DT_1,Conj_B_DT_1,Conj_DT_1,Exp_Conj_DT,Disj_A_DT_1,Disj_B_DT_1,Disj_DT_1,Exp_Disj_DT,Normal_B_Conj_Left_1,Normal_B_Con_Right_1,DB2_1,DB2_2,DB2_3,DB2_4,DB2_5,DT2_1,DT2_2,DT2_3,DT2_4,DT2_5,Feedback,Age,Age_1_TEXT,Gender,Race,Race_1_TEXT,Ethnicity,Condition,Structure
2019-05-31 17:18:00,2019-05-31 17:24:08,0,75.86.24.233,100,368,1,2019-05-31 17:24:08,R_0vmjJwtUoPPHnY5,,,,,43.048797607421875,-87.96250152587890625,anonymous,EN,Emma,,,,,,,,,,2,1,1,2,1,100,100,0,1,50,20,59,1,0,,,,,,,,,,,,1,1,1,2,2,,,,,,I tried to guess what would happen and based my decision on the earlier two ones that I rated.,1,26,2,1,Chinese,2,DB,Conj_Left
2019-05-31 17:18:11,2019-05-31 17:24:31,0,172.92.152.254,100,380,1,2019-05-31 17:24:31,R_1FA7BCOei2eF5XH,,,,,47.6674041748046875,-122.3701019287109375,anonymous,EN,,,,Noah,,,,,,,1,1,1,2,2,80,32,0,2,81,39,100,1,100,,,,,,,,,,,,,,,,,,,,,,"In the first scenario, it would go through only if b went through too but since it depended on a, then it is more likely the second one. ",1,25,1,1,asian,2,DB,Conj_Left
2019-05-31 17:18:21,2019-05-31 17:24:42,0,165.84.231.100,100,381,1,2019-05-31 17:24:42,R_20Um6SSgWdi8Qdl,,,,,51.5164031982421875,-0.0930023193359375,anonymous,EN,,,"WILLIAM SAYS TO ITS A BEAUTIFUL DAY,IS,IT? TO AVA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:22:46,2019-05-31 17:25:04,0,157.51.86.222,100,137,1,2019-05-31 17:25:04,R_2AMexWV1CgO3IZI,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,,JAMES,,,,,,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,,,,,,,,,,,,,DB,Conj_Right
2019-05-31 17:17:56,2019-05-31 17:25:07,0,106.51.105.15,100,431,1,2019-05-31 17:25:08,R_3fNrI50QstG2T5A,,,,,12.983306884765625,77.58331298828125,anonymous,EN,Emma,,,,,,,,,,1,1,1,2,2,95,76,9,2,73,58,93,1,79,,,,,,,,,,,,,,,,,,,,,,Based on my intuition.,1,33,1,1,Indian,2,DB,Conj_Left
2019-05-31 17:24:49,2019-05-31 17:25:08,0,165.84.231.100,100,18,1,2019-05-31 17:25:08,R_3IReowHa2up8Z4X,,,,,51.5164031982421875,-0.0930023193359375,anonymous,EN,,,,ITS A BEAUTIFUL DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:20:08,2019-05-31 17:25:13,0,73.186.19.26,100,305,1,2019-05-31 17:25:14,R_2aWUO3EWDsybI5v,,,,,41.555694580078125,-72.66320037841796875,anonymous,EN,,,Ava,,,1,2,1,2,2,,,,,,,,,,,,,,,,20,92,5,1,10,97,100,1,96,,,,,,,1,1,1,2,2,"I felt that for him to find Ball B to be the more important ball it had to be the situation where E was closer to the hole because then regardless of whether A got through the block which is firmer, B would likely go through, high chance at least, and would thus be more imperative than A",1,33,1,1,white,2,DT,Conj_Left
2019-05-31 17:24:19,2019-05-31 17:26:06,0,172.245.186.191,100,107,1,2019-05-31 17:26:07,R_3rMpOP10MSriEfF,,,,,42.8863983154296875,-78.8780975341796875,anonymous,EN,,,Ava,,,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,DT,Conj_Left
2019-05-31 17:27:36,2019-05-31 17:27:58,0,47.12.75.60,100,21,1,2019-05-31 17:27:58,R_2xAcz5MRqXdEDLW,,,,,42.8271942138671875,-88.74289703369140625,anonymous,EN,,,ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:18:00,2019-05-31 17:29:14,0,49.207.56.175,100,673,1,2019-05-31 17:29:14,R_3NUFNC1sfRMbOxk,,,,,12.983306884765625,77.58331298828125,anonymous,EN,Emma,,,,,,,,,,1,1,1,2,2,100,50,0,2,100,17,0,1,100,,,,,,,,,,,,,,,,,,,,,,"I think the closer the positioning of ball E is to the hole, the only thing that needs to happen is to one of the balls to go through, and as the rules say, Pink block has more chances of being penetrated, I chose the answer based on this rule only.",1,23,2,1,Asian,2,DB,Conj_Left
2019-05-31 17:25:12,2019-05-31 17:29:43,0,165.84.231.100,100,271,1,2019-05-31 17:29:43,R_3HpHuTrkshd88dS,,,,,51.5164031982421875,-0.0930023193359375,anonymous,EN,,,,,JAMES,,,,,,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,,,,,,,,,,,,,DB,Conj_Right
2019-05-31 17:24:28,2019-05-31 17:30:05,0,170.10.69.4,100,336,1,2019-05-31 17:30:05,R_TvlaLQLz497ggV3,,,,,38.467803955078125,-107.8751983642578125,anonymous,EN,,Benjamin,,,,1,1,1,2,2,,,,,,,,,,,,,,,,31,80,57,1,8,91,48,1,,66,,,,,,,,,,,Thanks,1,27,2,1,white,2,DT,Conj_Right
2019-05-31 17:23:32,2019-05-31 17:31:04,0,180.149.210.222,100,451,1,2019-05-31 17:31:04,R_0AIXBP2qb1e1RFD,,,,,24.904296875,67.081695556640625,anonymous,EN,Emma,,,,,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,,,,,,,,DT,Conj_Right
2019-05-31 17:23:08,2019-05-31 17:33:52,0,185.20.99.148,100,644,1,2019-05-31 17:33:53,R_sbQXbAXVZkSqhhL,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,,,,,James,1,1,1,2,2,,,,,,,,,,,,,,,,49,98,0,1,51,100,100,2,,0,,,,,,,,,,,impeccable understanding of the initial tutorial.,1,25,2,1,White,2,DT,Conj_Right
2019-05-31 17:32:51,2019-05-31 17:34:38,0,65.249.163.198,100,106,1,2019-05-31 17:34:38,R_5p43eRo71fft1yV,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,,,Ava,,,,,,,,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,,,,,,,,,,,,,DB,Conj_Right
2019-05-31 17:24:26,2019-05-31 17:34:39,0,49.206.113.42,100,612,1,2019-05-31 17:34:39,R_1pnacptOOijbfK9,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,Ava,,,1,1,1,2,2,,,,,,,,,,,,,,,,69,71,10,1,74,75,11,2,,22,,,,,,,,,,,THE MOTION OF THE BALLS AND THE INFORMATION PROVIDED ABOUT THE BILLIARD MACHINE HAS INFLUENCED  MY DECISION,1,25,2,1,ASIAN,2,DT,Conj_Right
2019-05-31 17:29:23,2019-05-31 17:35:12,0,75.164.28.90,100,349,1,2019-05-31 17:35:12,R_2zHcVvIKCmdMVRi,,,,,45.43829345703125,-122.6147003173828125,anonymous,EN,,Benjamin,,,,,,,,,1,1,1,2,2,79,52,0,2,79,51,100,1,,0,,,,,,,,,,,,,,,,,,,,,"When the ball was further back from the gate, going through the gate was dependent on B also making it through the block.",1,32,1,1,white,2,DB,Conj_Right
2019-05-31 17:31:06,2019-05-31 17:35:28,0,157.51.97.209,100,261,1,2019-05-31 17:35:28,R_spc6208fUNf0ICJ,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,,day is beautiful,,,,,,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,2,2,1,2,1,,,,,,,,,,,,,DB,Conj_Right
2019-05-31 17:17:48,2019-05-31 17:35:53,0,1.23.90.153,100,1085,1,2019-05-31 17:35:54,R_3Mosf9I1HveyHzY,,,,,18.97210693359375,72.8246002197265625,anonymous,EN,,,Ava,,,,,,,,2,1,1,1,2,89,89,85,1,98,98,97,1,100,,,,,,,,,,,,1,1,1,2,2,,,,,,I have my knowledge of what I have learnt in the experiment,1,29,2,1,White,1,DB,Conj_Left
2019-05-31 17:32:48,2019-05-31 17:36:27,0,112.133.248.17,100,218,1,2019-05-31 17:36:27,R_1mnlcoBmvqFkRaj,,,,,11.100006103515625,77.350006103515625,anonymous,EN,,,,,James,,,,,,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,,,,,,,,,,,,,DB,Conj_Left
2019-05-31 17:39:35,2019-05-31 17:39:48,0,157.46.95.212,100,12,1,2019-05-31 17:39:52,R_9zScCh9ZjpdEwlr,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:23:18,2019-05-31 17:39:50,0,119.153.178.164,100,991,1,2019-05-31 17:39:52,R_b7NH8aIqBqkvk3f,,,,,31.49090576171875,74.36810302734375,anonymous,EN,,,,Noah,,,,,,,1,1,1,2,2,88,20,0,2,85,18,100,2,87,,,,,,,,,,,,,,,,,,,,,,,1,23,2,2,,2,DB,Conj_Left
2019-05-31 17:37:45,2019-05-31 17:39:54,0,100.12.84.61,100,129,1,2019-05-31 17:39:56,R_30wQWqnd1nX7PIo,,,,,40.7364044189453125,-73.86949920654296875,anonymous,EN,,Benjamin,,,,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,,,,,,,,DT,Conj_Right
2019-05-31 17:39:53,2019-05-31 17:40:08,0,157.46.95.212,100,15,1,2019-05-31 17:40:14,R_w6IoFDZS7fGz1VD,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:40:13,2019-05-31 17:40:27,0,157.46.95.212,100,13,1,2019-05-31 17:40:28,R_2YPXkF3Lce4FzVs,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,BENJAMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:40:32,2019-05-31 17:40:43,0,157.46.95.212,100,10,1,2019-05-31 17:40:43,R_11jaZaa8y6O0l6Q,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,AMELIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:40:49,2019-05-31 17:40:57,0,157.46.95.212,100,8,1,2019-05-31 17:40:58,R_Q06aFYwk11zg8ed,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,NOAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:33:59,2019-05-31 17:41:21,0,50.83.46.151,100,441,1,2019-05-31 17:41:21,R_1jd2cdw9CnsdEsJ,,,,,41.494598388671875,-90.56749725341796875,anonymous,EN,,,,Noah,,,,,,,1,2,1,2,2,74,15,0,2,89,19,91,2,94,,,,,,,,,,,,1,1,1,2,2,,,,,,"I picked the one that had more of a chance of going in, the one closest to the opening, so that if one or both hit, it would go in.",1,51,1,1,white,2,DB,Conj_Left
2019-05-31 17:41:02,2019-05-31 17:44:29,0,157.46.95.212,100,206,1,2019-05-31 17:44:30,R_pfQ6OYz5q8bNvEd,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,,JAMES,,,,,,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,DB,Conj_Right
2019-05-31 17:44:40,2019-05-31 17:44:51,8,157.46.95.212,100,11,1,2019-05-31 17:44:52,R_1ieeTN49agk0R3u,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,BENJAMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:44:57,2019-05-31 17:45:08,0,157.46.95.212,100,11,1,2019-05-31 17:45:08,R_2D1xCsqt2FFjFlN,,,,,10.990997314453125,76.966705322265625,anonymous,EN,LIAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:45:16,2019-05-31 17:45:25,8,157.46.95.212,100,8,1,2019-05-31 17:45:25,R_1EioFsSq1PfySqp,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:45:30,2019-05-31 17:45:39,8,157.46.95.212,100,8,1,2019-05-31 17:45:39,R_AHv8X4z5XzTZ3c5,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,NOAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:36:39,2019-05-31 17:45:49,0,73.177.134.158,100,549,1,2019-05-31 17:45:49,R_2Wvtn3gWSfScj9c,,,,,38.6548004150390625,-78.45960235595703125,anonymous,EN,,,,,James,,,,,,1,1,1,2,2,87,26,0,1,85,63,100,1,,100,,,,,,,,,,,,,,,,,,,,,I think It would have had to have A to go through on the one thats further from the gate.,1,41,1,1,white,2,DB,Conj_Right
2019-05-31 17:45:44,2019-05-31 17:45:52,8,157.46.95.212,100,7,1,2019-05-31 17:45:52,R_2rzpsu5vrnep0Zz,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:45:56,2019-05-31 17:46:05,0,157.46.95.212,100,8,1,2019-05-31 17:46:06,R_DAKbl7BMPPpBFZL,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,WILLIAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:46:13,2019-05-31 17:46:25,8,157.46.95.212,100,12,1,2019-05-31 17:46:26,R_2EbqZyBveFYCnXW,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,AMELIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:46:31,2019-05-31 17:46:38,0,157.46.95.212,100,7,1,2019-05-31 17:46:39,R_215iprkM2GuAwh4,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,AVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:42:51,2019-05-31 17:46:49,0,108.197.229.66,100,238,1,2019-05-31 17:46:50,R_2uUKLSLCEQThvQd,,,,,42.046905517578125,-88.1051025390625,anonymous,EN,Emma,,,,,,,,,,1,1,1,2,2,100,51,100,1,100,0,100,1,0,,,,,,,,,,,,,,,,,,,,,,No comments,1,23,2,1,"Asian ",2,DB,Conj_Left
2019-05-31 17:46:43,2019-05-31 17:46:50,8,157.46.95.212,100,6,1,2019-05-31 17:46:50,R_9MExPtFMtJvsOZz,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,AMELIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:46:54,2019-05-31 17:47:07,8,157.46.95.212,100,13,1,2019-05-31 17:47:08,R_2VIsFCFuXzgGqH2,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,BENJAMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:41:58,2019-05-31 17:47:09,0,122.174.123.211,100,310,1,2019-05-31 17:47:09,R_2wQs2LyJqTImVZP,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,,Noah,,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,,,,,,,,DT,Conj_Right
2019-05-31 17:47:14,2019-05-31 17:47:47,0,122.174.123.211,100,32,1,2019-05-31 17:47:47,R_3JCNNcANXG1flig,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,BENJAMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:47:25,2019-05-31 17:47:49,0,122.164.205.28,100,24,1,2019-05-31 17:47:50,R_1fadFB20tz263G5,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,,"It's a beautiful day, isn't it?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31 17:47:16,2019-05-31 17:48:42,0,157.46.95.212,100,85,1,2019-05-31 17:48:43,R_3HS53HLREc7sEcD,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,,JAMES,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,,,,,,,,DT,Conj_Right
2019-05-31 17:47:27,2019-05-31 17:48:58,0,122.164.205.28,100,90,1,2019-05-31 17:48:58,R_1jCXeSwwoxlz6o5,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,Benjamin,,,,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,,,,,,,,DT,Conj_Left
2019-05-31 17:48:48,2019-05-31 17:48:59,8,157.46.95.212,100,11,1,2019-05-31 17:48:59,R_2PoES5HkUHBdH3n,,,,,10.990997314453125,76.966705322265625,anonymous,EN,LIAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
