StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q39,Q40,Q41,Q42,Q43,Check1_1,Check1_2,Check1_3,Check1_4,DT_Ball_A_1,DT_Ball_B_1,DT_Disjunctive_1,Both_Thru_DT,DB_Ball_A_1,DB_Ball_B_1,DB_Disjunctive_1,Both_Thru_DB,A_DarkTop_Left_1,A_DarkTop_Right_1,B_DarkTop_Left_1,B_DarkTop_Right_1,Check2_1,Check2_2,Check2_3,Check2_4,Feedback,Age,Age_1_TEXT,Gender,Race,Race_1_TEXT,Ethnicity,LearnCondition,Condition
2019-05-23 18:28:46,2019-05-23 18:33:51,IP Address,122.164.229.80,100,305,True,2019-05-23 18:33:52,R_bHoSHk2bZufwi0F,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,Ava,,,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,1
2019-05-23 18:30:57,2019-05-23 18:34:57,IP Address,24.116.102.196,100,239,True,2019-05-23 18:34:57,R_OqaHTORAbLNjMGt,,,,,33.6416015625,-96.61460113525390625,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,81,20,100,Ball E did go through the gate because ball A did go through the motion block.,,,39,,,,,,It really was a tossup as to which was more important but I thought that the ball going through the light color was more important.,My age in years is,26,Male,I am,white,Non-Hispanic,2,3
2019-05-23 18:33:59,2019-05-23 18:36:08,IP Address,122.164.229.80,100,129,True,2019-05-23 18:36:09,R_115DLKiIK5CkG6R,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,Benjamin,,,,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,1
2019-05-23 18:30:02,2019-05-23 18:37:03,IP Address,67.204.142.123,100,421,True,2019-05-23 18:37:04,R_3JF8aWytTogV69P,,,,,44.01849365234375,-121.29840087890625,anonymous,EN,,Benjamin,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",72,25,100,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,,100,,,,,I went based on the probability of the light red block being able to let the ball through with a greater chance.,My age in years is,36,Female,I am,white,Non-Hispanic,1,4
2019-05-23 18:23:45,2019-05-23 18:40:12,IP Address,122.167.185.99,100,987,True,2019-05-23 18:40:12,R_3Jn4EAZrRxuS6Br,,,,,12.983306884765625,77.58331298828125,anonymous,EN,Emma,,,,,true,false,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,3
2019-05-23 18:40:16,2019-05-23 18:43:24,IP Address,122.167.185.99,100,188,True,2019-05-23 18:43:25,R_1KiLCbemJV9HFec,,,,,12.983306884765625,77.58331298828125,anonymous,EN,,,Ava,,,true,true,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,false,true,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,2
2019-05-23 17:59:32,2019-05-23 18:48:26,IP Address,47.247.246.232,100,2934,True,2019-05-23 18:48:27,R_4GhgHvGczN8jfvr,,,,,23.266693115234375,77.399993896484375,anonymous,EN,Emma,,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",22,77,100,Ball E did go through the gate because ball B did go through the motion block.,,,,,,16,,,,,,,I chose the scene which had lighter block for the ball which was mentioned in the sentence by other person who participated in this experiment.,My age in years is,21,Male,I am,indian,Non-Hispanic,1,2
2019-05-23 18:43:26,2019-05-23 18:49:38,IP Address,216.163.1.233,100,371,True,2019-05-23 18:49:38,R_2fI010Lc2iQMIBp,,,,,35.92730712890625,-89.91899871826171875,anonymous,EN,Emma,,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,52,53,100,Ball E did go through the gate because ball A did go through the motion block.,,,,78,,,,,"the position of the B ball and the placement of the red stopping block, i figured it would be more likely that b was not stopped by the light colored stopping block",My age in years is,34,Male,I am,white,Non-Hispanic,2,4
2019-05-23 18:50:00,2019-05-23 18:55:06,IP Address,174.105.25.180,100,306,True,2019-05-23 18:55:07,R_T1nWlaGegEkYgjD,,,,,39.9387969970703125,-83.04630279541015625,anonymous,EN,Emma,,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",16,82,100,Ball E did go through the gate because ball B did go through the motion block.,,,,,83,,,,,,,,"I figured since a light block only had a 20% chance of blocking a ball, it will always be more likely that the ball behind will be the one to hit E. Therefore, if I can only choose between A or B hitting E, I chose the one behind the light block even if both balls hit E.",My age in years is,36,Male,I am,White/Caucasian,Non-Hispanic,1,1
2019-05-23 18:36:11,2019-05-23 18:55:40,IP Address,122.164.229.80,100,1168,True,2019-05-23 18:55:40,R_1er4gGMhSSJdzeU,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,Emma,,,,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",100,0,100,Ball E did go through the gate because ball A did go through the motion block.,,,,,,100,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",great time take this work.,My age in years is,28,Male,I am,Asian,Non-Hispanic,1,2
2019-05-23 18:55:36,2019-05-23 18:59:56,IP Address,73.175.124.51,100,259,True,2019-05-23 18:59:56,R_2wsfRwlj78CgsrW,,,,,40.322601318359375,-76.40419769287109375,anonymous,EN,,,,,James,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,true,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,4
2019-05-23 18:43:28,2019-05-23 19:00:49,IP Address,122.167.185.99,100,1041,True,2019-05-23 19:00:50,R_paccTvqclSKyn2V,,,,,12.983306884765625,77.58331298828125,anonymous,EN,Emma,,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",34,35,65,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,100,,,,,,THE FIRST SCENE WAS MORE LIKELY FOR DECISION BECAUSE FIRST SCENE HAS FULLY CLEAR INSTRUCTIONS TO EASY UNDERSTANDABLE. NICE EXPERIMENT.,My age in years is,27,Male,I am,ASIAN,Prefer not to say.,1,3
2019-05-23 19:00:09,2019-05-23 19:09:42,IP Address,73.175.124.51,100,573,True,2019-05-23 19:09:43,R_Wj0chKf2eSoVt61,,,,,40.322601318359375,-76.40419769287109375,anonymous,EN,,,,,James,true,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,51,38,58,Ball E did go through the gate because ball A did go through the motion block.,,,64,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",Just probability.,My age in years is,37,Male,I am,White,Non-Hispanic,2,3
2019-05-23 19:29:36,2019-05-23 19:35:28,IP Address,72.133.114.59,100,352,True,2019-05-23 19:35:29,R_1istvvJzctAnrG1,,,,,30.449005126953125,-97.9669036865234375,anonymous,EN,Emma,,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,100,15,100,Ball E did go through the gate because ball A did go through the motion block.,,,,0,,,,,"I think the emphasis on the which ball went through was put on the harder route, the darker motion block.",My age in years is,29,Female,I am,white,Non-Hispanic,2,4
2019-05-23 19:24:50,2019-05-23 19:58:51,IP Address,122.174.189.160,100,2041,True,2019-05-23 19:58:52,R_zZ3AeMGhJ93MPWV,,,,,13.082794189453125,80.219207763671875,anonymous,EN,,,,,James,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,100,100,100,Ball E did go through the gate because ball B did go through the motion block.,,,100,,,,,,great time to spend this.,My age in years is,26,Female,I am,Asian,Non-Hispanic,2,3
2019-05-23 19:57:18,2019-05-23 20:03:53,IP Address,198.53.41.132,100,395,True,2019-05-23 20:03:53,R_poBaB0eptTCktu9,,,,,55.1808013916015625,-118.91030120849609375,anonymous,EN,Emma,,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,76,18,100,Ball E did go through the gate because ball A did go through the motion block.,,23,,,,,,,It was more likely that the answer was chosen for the ball that went through the light block.,My age in years is,24,Male,I am,Caucasian,Non-Hispanic,2,2
2019-05-23 21:36:15,2019-05-23 21:36:57,IP Address,122.174.178.224,100,42,True,2019-05-23 21:36:58,R_2VqJ8iiEdyLuxXP,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,3AJNAQR5WPOTW86DUT5SKVHGRSSHZO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-23 22:20:09,2019-05-23 22:21:11,IP Address,122.164.108.85,100,61,True,2019-05-23 22:21:11,R_R2Jmewez8gQpp4d,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,,,james,true,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,true,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,1,3
2019-05-23 22:21:19,2019-05-23 22:21:30,IP Address,122.164.108.85,100,10,True,2019-05-23 22:21:30,R_engyufpfKbORRPr,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-23 22:21:38,2019-05-23 22:21:45,IP Address,122.164.108.85,100,7,True,2019-05-23 22:21:46,R_2wvq2nbqPGhfp7K,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-23 22:21:53,2019-05-23 22:24:07,IP Address,122.164.108.85,100,134,True,2019-05-23 22:24:08,R_2sU3PHeHgvsRpgm,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,Benjamin,,,,true,false,"The light red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",77,90,88,Ball E did go through the gate because ball B did go through the motion block.,,,,,,84,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",The factors are our decision making in these game.,My age in years is,29,Female,I am,indian,Non-Hispanic,1,2
2019-05-23 22:18:44,2019-05-23 22:19:00,IP Address,73.52.197.219,12,15,False,2019-05-23 22:33:01,R_2vjNSAucB2euncM,,,,,,,anonymous,EN,,,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
2019-05-23 19:16:49,2019-05-23 19:19:05,IP Address,67.245.212.31,12,136,False,2019-05-23 22:33:01,R_3kFBe6i6o3UO8nX,,,,,,,anonymous,EN,,,,Noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2019-05-23 17:49:38,2019-05-23 18:01:57,IP Address,73.162.57.19,17,739,False,2019-05-23 22:33:01,R_3m44UD07Sami6sd,,,,,,,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,,,,,,,,,,,,2,2
2019-05-23 18:13:47,2019-05-23 18:14:20,IP Address,72.24.233.212,10,32,False,2019-05-23 22:33:01,R_2uU7GM3cS79mhcb,,,,,,,anonymous,EN,,,,Noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
2019-05-23 18:18:44,2019-05-23 18:19:23,IP Address,98.20.113.94,9,39,False,2019-05-23 22:33:06,R_3kdFnq8daRr0oxn,,,,,,,anonymous,EN,,,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
2019-05-23 19:13:36,2019-05-23 19:54:31,IP Address,189.6.233.67,99,2454,False,2019-05-23 22:33:22,R_3oT9u0v4tTZH3xn,,,,,,,anonymous,EN,,Mia is talking to Benjamin,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,54,23,84,Ball E did go through the gate because ball B did go through the motion block.,,0,,,,,,,"When i choosed the ball B i imagined that the mass of B it was bigger than motion block and the power placed on the ball B it was bigger than ball A.
When i had to choose for Pete i believe he basead at the first explanation and think if the motion block was lighter the ball can pass more easily",My age in years is,28,Male,I am,White,Hispanic,2,2
2019-05-23 18:25:55,2019-05-23 18:26:57,IP Address,71.232.130.176,12,62,False,2019-05-23 22:33:22,R_1P8nWQpcWzPCWbK,,,,,,,anonymous,EN,,,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
2019-05-23 18:18:01,2019-05-23 18:19:00,IP Address,69.76.44.10,7,58,False,2019-05-23 22:33:30,R_Q5ieKwAiLLkxAnD,,,,,,,anonymous,EN,,,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
2019-05-23 18:36:25,2019-05-23 18:39:57,IP Address,96.227.106.123,58,211,False,2019-05-23 22:33:30,R_2z6fOXQxwYDoqUv,,,,,,,anonymous,EN,,,Ava,,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,true,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,1
2019-05-24 18:56:33,2019-05-24 18:59:08,IP Address,97.94.67.192,100,154,True,2019-05-24 18:59:08,R_3Wa9uuACot8OlYR,,,,,43.1772003173828125,-85.2472991943359375,anonymous,EN,,,Ava,,,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,true,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,4
2019-05-24 18:56:53,2019-05-24 18:59:18,IP Address,103.114.211.86,100,145,True,2019-05-24 18:59:19,R_2PkhTCD47byrf78,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,,James,true,false,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,false,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,4
2019-05-24 18:59:04,2019-05-24 19:02:45,IP Address,24.153.48.30,100,220,True,2019-05-24 19:02:45,R_qPzxV12FzrWfmsV,,,,,38.281097412109375,-77.12599945068359375,anonymous,EN,,,Ava,,,false,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,true,true,"The light red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,4
2019-05-24 18:58:48,2019-05-24 19:03:08,IP Address,216.110.214.42,100,259,True,2019-05-24 19:03:08,R_rliNfWCj86MUn8l,,,,,44.83770751953125,-123.2512054443359375,anonymous,EN,Emma,,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",23,83,100,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,64,,,,,,"I figured his thought process would be the same as mine which is that the stronger block allowing the ball through was more the cause if I am forced to choose. That said, I didn't really agree that one explanation was better, but that wasn't a choice. both balls/actions contributed equally to the other ball going through the gate.",My age in years is,32,Male,I am,white,Non-Hispanic,1,3
2019-05-24 19:02:57,2019-05-24 19:03:12,IP Address,174.104.13.169,100,14,True,2019-05-24 19:03:12,R_2wypj1vZczvJjjg,,,,,40.8271942138671875,-81.36100006103515625,anonymous,EN,EMMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 18:56:48,2019-05-24 19:05:35,IP Address,63.224.35.70,100,527,True,2019-05-24 19:05:36,R_9XjBkL1BGXzvDc5,,,,,46.949798583984375,-123.0211944580078125,anonymous,EN,Emma,,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,82,27,100,Ball E did go through the gate because ball B did go through the motion block.,45,,,,,,,,"I thought maybe he picked the way I picked, but I was very unsure.",My age in years is,38,Female,Prefer not to say.,,Non-Hispanic,2,1
2019-05-24 19:03:17,2019-05-24 19:05:46,IP Address,128.249.96.88,100,148,True,2019-05-24 19:05:46,R_331k7v5umtfscvl,,,,,29.7041015625,-95.4010009765625,anonymous,EN,Emma,,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,75,31,100,Ball E did go through the gate because ball B did go through the motion block.,,88,,,,,,,I think you'd be more likely to describe a ball going through a stronger motion block than a weaker one.,My age in years is,26,Female,I am,White and Asian,Non-Hispanic,2,2
