StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q39,Q40,Q41,Q42,Q43,Check1_1,Check1_2,Check1_3,Check1_4,DT_Ball_A_1,DT_Ball_B_1,DT_Conjunctive_1,Both_Thru_DT,DB_Ball_A_1,DB_Ball_B_1,DB_Conjunctive_1,Both_Thru_DB,A_DarkTop_Left_1,A_DarkTop_Right_1,B_DarkTop_Left_1,B_DarkTop_Right_1,Check2_1,Check2_2,Check2_3,Check2_4,Feedback,Age,Age_1_TEXT,Gender,Race,Race_1_TEXT,Ethnicity,LearnCondition,Condition
21/05/2019 19:16,21/05/2019 19:17,IP Address,12.38.35.6,100,93,TRUE,21/05/2019 19:17,R_3oT3MeZYL5nL6Ah,,,,,28.55149841,-81.30509949,anonymous,EN,,,,Noah,,FALSE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,69,53,52,Ball E did go through the gate because ball A did go through the motion block.,,,71,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",Great study.,My age in years is,28,Male,I am,Mixed Race (White & Black),Non-Hispanic,2,3
21/05/2019 19:15,21/05/2019 19:18,IP Address,67.189.171.219,100,208,TRUE,21/05/2019 19:18,R_2EF8DmoCztnuYpF,,,,,42.45669556,-71.37470245,anonymous,EN,,Benjamin,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,68,28,0,Ball E did go through the gate because ball B did go through the motion block.,0,,,,,,,,I think the fact that a ball got through the harder gate means that it is the one that made E go through.,My age in years is,22,Female,I am,White,Non-Hispanic,2,1
21/05/2019 19:15,21/05/2019 19:18,IP Address,73.48.80.170,100,185,TRUE,21/05/2019 19:18,R_2Vm9gqzHebM9hWn,,,,,30.49079895,-84.31580353,anonymous,EN,,,,Noah,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",18,81,0,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,82,,,,,,the percentages on the blocks,My age in years is,36,Male,I am,white,Non-Hispanic,1,3
21/05/2019 19:16,21/05/2019 19:19,IP Address,68.34.168.199,100,225,TRUE,21/05/2019 19:19,R_1cUspnOvP6tYrj7,,,,,36.8927002,-81.74019623,anonymous,EN,Emma,,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,10,11,68,Ball E did go through the gate because ball B did go through the motion block.,43,,,,,,,,,My age in years is,32,Female,I am,white,Non-Hispanic,2,1
21/05/2019 19:16,21/05/2019 19:20,IP Address,103.89.65.54,100,272,TRUE,21/05/2019 19:20,R_AcxcNf84qhVAVvH,,,,,10.99099731,76.96670532,anonymous,EN,,,,noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2019 19:20,21/05/2019 19:23,IP Address,73.228.117.109,100,196,TRUE,21/05/2019 19:23,R_DSNL9XxbeuNMJfX,,,,,40.65660095,-111.8907013,anonymous,EN,,,,,James,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",25,74,0,Ball E did go through the gate because ball A did go through the motion block.,,,,,,89,,,,,,,The probability of the blocks,My age in years is,26,Male,I am,white,Non-Hispanic,1,2
21/05/2019 19:24,21/05/2019 19:25,IP Address,171.49.194.16,100,51,TRUE,21/05/2019 19:25,R_3im3uaUhP73Wv8n,,,,,13.08430481,80.28048706,anonymous,EN,,,,noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2019 19:24,21/05/2019 19:27,IP Address,67.167.227.179,100,163,TRUE,21/05/2019 19:27,R_2z6J7Jn1BhY66tL,,,,,41.7447052,-87.76989746,anonymous,EN,Emma,,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",33,68,0,Ball E did go through the gate because ball A did go through the motion block.,,,,,0,,,,,,,,The block was what helped me decide which ball going through was more important,My age in years is,27,Male,I am,white,Non-Hispanic,1,1
21/05/2019 19:24,21/05/2019 19:28,IP Address,162.200.74.157,100,286,TRUE,21/05/2019 19:28,R_1lrQuwy8pUZ6dRn,,,,,32.769104,-96.6053009,anonymous,EN,,,,Noah,,TRUE,FALSE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,TRUE,FALSE,The light red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,2
21/05/2019 19:23,21/05/2019 19:29,IP Address,98.230.96.230,100,325,TRUE,21/05/2019 19:29,R_01GkyrgMM4dtyuJ,,,,,30.49079895,-84.31580353,anonymous,EN,,Benjamin,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",5,80,0,Ball E did go through the gate because ball A did go through the motion block.,,,,,12,,,,,,,,Based on the fact that I would expect him to be more hesitant for Ball A to make it through the dark gate.,My age in years is,27,Male,I am,white,Non-Hispanic,1,1
21/05/2019 19:26,21/05/2019 19:30,IP Address,122.174.98.68,100,239,TRUE,21/05/2019 19:30,R_2CDiqLIAvPbfyMN,,,,,13.08430481,80.28048706,anonymous,EN,,,Ava,,,TRUE,TRUE,The light red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,FALSE,TRUE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,3
21/05/2019 19:28,21/05/2019 19:32,IP Address,98.159.196.54,100,201,TRUE,21/05/2019 19:32,R_12RxQWMyPDzFBfZ,,,,,34.61799622,-86.05619812,anonymous,EN,Emma,,,,,FALSE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",80,31,55,Ball E did go through the gate because ball B did go through the motion block.,,,,,,,,92,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",no,My age in years is,25,Male,I am,white,Non-Hispanic,1,4
21/05/2019 19:16,21/05/2019 19:32,IP Address,112.202.193.126,100,934,TRUE,21/05/2019 19:32,R_3iwKIL63PB7ofXz,,,,,14.57600403,121.0281067,anonymous,EN,,,,Noah,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",21,81,0,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,,12,,,,,The positions (top or bottom) of the 2 motion blocks,My age in years is,32,Male,I am,Asian,Non-Hispanic,1,4
21/05/2019 19:27,21/05/2019 19:32,IP Address,73.19.93.238,100,343,TRUE,21/05/2019 19:32,R_3PyL2uH5NVNAY8d,,,,,47.01109314,-122.875,anonymous,EN,Emma,,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",18,78,0,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,,0,,,,,"I think what determined my decision for which ball was allowed through the motion block was based on the percentage of it's blocking chance. Both statements were true, however, the greater percentage chance of a block influenced my decision. ",My age in years is,32,Male,I am,white,Non-Hispanic,1,4
21/05/2019 19:30,21/05/2019 19:34,IP Address,136.49.182.219,100,248,TRUE,21/05/2019 19:34,R_2vZnQI4s5O9wYnN,,,,,30.20950317,-97.79720306,anonymous,EN,Emma,,,,,FALSE,TRUE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",36,92,19,Ball E did go through the gate because ball A did go through the motion block.,,,,,88,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",The likelihood of the ball getting through a dark or light block.,My age in years is,30,Male,I am,white,Non-Hispanic,1,1
21/05/2019 19:21,21/05/2019 19:34,IP Address,103.89.65.54,100,758,TRUE,21/05/2019 19:34,R_3DjpNaoNei6lYYh,,,,,10.99099731,76.96670532,anonymous,EN,Emma,,,,,TRUE,TRUE,The light red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,TRUE,TRUE,The light red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,2
21/05/2019 19:30,21/05/2019 19:34,IP Address,122.174.98.68,100,235,TRUE,21/05/2019 19:34,R_2P8csmG8DOVaM5X,,,,,13.08430481,80.28048706,anonymous,EN,Emma,,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",84,78,80,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,77,,,,,,good,My age in years is,29,Female,I am,Indian,Non-Hispanic,1,3
21/05/2019 19:31,21/05/2019 19:35,IP Address,173.18.253.181,100,243,TRUE,21/05/2019 19:35,R_31Y3FeqdlKXIWoi,,,,,37.16610718,-93.2457962,anonymous,EN,,Benjamin,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,73,23,0,Ball E did go through the gate because ball B did go through the motion block.,,,91,,,,,,,My age in years is,34,Female,I am,White,Non-Hispanic,2,3
21/05/2019 19:27,21/05/2019 19:35,IP Address,47.210.3.243,100,468,TRUE,21/05/2019 19:35,R_3npTSf0ClTNlXpu,,,,,32.543396,-93.70110321,anonymous,EN,,,Ava,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,89,12,0,Ball E did go through the gate because ball B did go through the motion block.,11,,,,,,,,"In my mind, I considered the difficulty of getting through the block in deciding which (A or B) caused E to go through the gate.",My age in years is,56,Male,I am,White,Non-Hispanic,2,1
21/05/2019 19:28,21/05/2019 19:35,IP Address,73.169.252.53,100,437,TRUE,21/05/2019 19:35,R_OOMJMLdPLhT9qb7,,,,,46.99389648,-122.7429962,anonymous,EN,,,,,James,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",21,88,9,Ball E did go through the gate because ball A did go through the motion block.,,,,,,87,,,,,,,"The chances of the ball going through the dark block were much smaller, so that is the one that people would focus on.",My age in years is,60,Female,I am,White,Non-Hispanic,1,2
21/05/2019 19:34,21/05/2019 19:37,IP Address,103.89.65.54,100,201,TRUE,21/05/2019 19:37,R_3G2PK8Khfi7H0jl,,,,,10.99099731,76.96670532,anonymous,EN,,,Ava,,,FALSE,FALSE,The light red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,TRUE,TRUE,The light red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,2
21/05/2019 19:35,21/05/2019 19:38,IP Address,24.181.213.246,100,151,TRUE,21/05/2019 19:38,R_3Jm8iM2LiZ4Dd2H,,,,,35.59710693,-82.5565033,anonymous,EN,Emma,,,,,TRUE,FALSE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,TRUE,FALSE,The light red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,4
21/05/2019 19:26,21/05/2019 19:39,IP Address,24.233.111.249,100,767,TRUE,21/05/2019 19:39,R_3e9q2OHGU4ZjDfZ,,,,,43.54960632,-71.60030365,anonymous,EN,,,,,James,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,0,0,0,Ball E did go through the gate because ball B did go through the motion block.,,,100,,,,,,less likely to go through the darker block so more likely to make a comment about it,My age in years is,42,Male,I am,white,Non-Hispanic,2,3
21/05/2019 19:36,21/05/2019 19:40,IP Address,49.207.184.166,100,230,TRUE,21/05/2019 19:40,R_3nIynXgPQwG2JS8,,,,,13.08430481,80.28048706,anonymous,EN,,Benjamin,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,67,72,38,Ball E did go through the gate because ball A did go through the motion block.,,,71,,,,,,WELLL,My age in years is,1990,Female,I am,WHITE,Non-Hispanic,2,3
21/05/2019 19:29,21/05/2019 19:42,IP Address,71.230.124.130,100,772,TRUE,21/05/2019 19:42,R_1pFEW4iawlneamS,,,,,39.93400574,-75.16000366,anonymous,EN,,Benjamin,,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,52,38,85,Ball E did go through the gate because ball A did go through the motion block.,58,,,,,,,,,My age in years is,24,Prefer not to say.,Prefer not to say.,,Prefer not to say.,2,1
21/05/2019 19:39,21/05/2019 19:42,IP Address,66.55.156.251,100,200,TRUE,21/05/2019 19:42,R_3CPgkVnNLfP9PN7,,,,,40.55110168,-74.46060181,anonymous,EN,,Benjamin,,,,FALSE,TRUE,The light red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,TRUE,TRUE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,1
21/05/2019 19:44,21/05/2019 19:47,IP Address,24.26.54.240,100,161,TRUE,21/05/2019 19:47,R_6KDhbkmzXBrO8mJ,,,,,37.75590515,-87.08029938,anonymous,EN,,,,,James,TRUE,FALSE,The light red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",51,52,0,Ball E did go through the gate because ball B did go through the motion block.,,,,,,0,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",The color of the block,My age in years is,37,Female,I am,White,Non-Hispanic,1,2
21/05/2019 19:43,21/05/2019 19:49,IP Address,70.125.234.91,100,356,TRUE,21/05/2019 19:49,R_a9MHtx3tyElovq9,,,,,47.90049744,-122.2472,anonymous,EN,Emma,,,,,TRUE,TRUE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,FALSE,FALSE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,4
21/05/2019 19:45,21/05/2019 19:50,IP Address,73.187.47.196,100,283,TRUE,21/05/2019 19:50,R_393zC2SRnCj5ydH,,,,,40.17880249,-77.00469971,anonymous,EN,,,Ava,,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,54,10,55,Ball E did go through the gate because ball B did go through the motion block.,6,,,,,,,,The darkness of the red line.  ,My age in years is,51,Female,I am,multi ethnic,Non-Hispanic,2,1
21/05/2019 19:49,21/05/2019 19:50,IP Address,107.145.113.42,100,89,TRUE,21/05/2019 19:50,R_1OjW4MpgO0nYj14,,,,,28.20620728,-80.68740082,anonymous,EN,,,,,James,TRUE,FALSE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,TRUE,FALSE,The light red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,2
21/05/2019 19:38,21/05/2019 19:51,IP Address,103.89.65.54,100,818,TRUE,21/05/2019 19:51,R_1QsbtnXCOiwJ8B3,,,,,10.99099731,76.96670532,anonymous,EN,,,,,James,TRUE,TRUE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,FALSE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,4
21/05/2019 19:25,21/05/2019 19:52,IP Address,171.49.194.16,100,1626,TRUE,21/05/2019 19:52,R_1NmNHJTt847FqO2,,,,,13.08430481,80.28048706,anonymous,EN,,,,,James,FALSE,TRUE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,TRUE,FALSE,The dark red one  ,"Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,4
21/05/2019 19:51,21/05/2019 19:52,IP Address,122.174.181.101,100,69,TRUE,21/05/2019 19:52,R_3imKXqxCe4Jmq5i,,,,,13.08430481,80.28048706,anonymous,EN,,,,,James,FALSE,TRUE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,TRUE,TRUE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,1,2
21/05/2019 19:45,21/05/2019 19:53,IP Address,108.171.159.47,100,474,TRUE,21/05/2019 19:53,R_XMltrJbGgaoGCsh,,,,,18.97210693,72.82460022,anonymous,EN,,,,Noah,,TRUE,FALSE,The dark red one  ,"No, their position (i.e. top or bottom) in the billiard machine can vary.",0,67,5,Ball E did go through the gate because ball A did go through the motion block.,,,,,39,,,,,,,,It was  a guess,My age in years is,30,Male,I am,Asian,Non-Hispanic,1,1
