StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q39,Q40,Q41,Q42,Q43,DT1_1,DT1_2,DT1_3,DT1_4,DT1_5,DB1_1,DB1_2,DB1_3,DB1_4,DB1_5,Conj_A_DB_1,Conj_B_DB_1,Conj_DB_1,Exp_Conj_DB,Disj_A_DB_1,Disj_B_DB_1,Disj_DB_1,Exp_Disj_DB,Abnormal_B_Conj_Left_1,Abnormal_B_Con_Right_1,Conj_A_DT_1,Conj_B_DT_1,Conj_DT_1,Exp_Conj_DT,Disj_A_DT_1,Disj_B_DT_1,Disj_DT_1,Exp_Disj_DT,Abnormal_A_Conj_Left_1,Abnormal_B_Con_Righ_1,DB2_1,DB2_2,DB2_3,DB2_4,DB2_5,DT2_1,DT2_2,DT2_3,DT2_4,DT2_5,Feedback,Age,Age_1_TEXT,Gender,Race,Race_1_TEXT,Ethnicity,Condition,Structure
2019-05-28 23:29:58,2019-05-28 23:36:29,0,108.66.4.224,100,390,1,2019-05-28 23:36:29,R_2dWpMDsq21YsNM6,,,,,37.250701904296875,-121.83599853515625,anonymous,EN,,,,,James,,,,,,1,1,1,2,2,83,17,0,2,83,10,100,1,18,,,,,,,,,,,,,,,,,,,,,,"Ball A has a pretty good chance of going through, so the action really hinges on Ball B, I think.",1,28,1,1,White,2,DB,Conj_Left
2019-05-28 23:31:41,2019-05-28 23:38:21,0,73.55.204.192,100,399,1,2019-05-28 23:38:22,R_2a9u4Gpf5utZyQe,,,,,29.7971954345703125,-95.32879638671875,anonymous,EN,,,,Noah,,1,1,1,2,2,,,,,,,,,,,,,,,,21,73,0,1,0,30,100,2,2,,,,,,,,,,,,I just picked one of the two balls. No other comments.,1,34,2,1,Black,2,DT,Conj_Left
2019-05-28 23:35:37,2019-05-28 23:41:00,0,98.215.93.19,100,323,1,2019-05-28 23:41:01,R_ROj8KREBBXiYxtT,,,,,40.46929931640625,-88.9423980712890625,anonymous,EN,,,,Noah,,,,,,,1,1,1,2,2,85,22,0,2,81,22,100,1,20,,,,,,,,,,,,,,,,,,,,,,"The requirement for the ball to go through the hole was more dependent on ball B if ball E was closer to the blocks. Therefore, if someone attributes the success to ball B, then it was probably that scenario.",1,30,2,1,White,2,DB,Conj_Left
2019-05-28 23:39:37,2019-05-28 23:42:20,0,171.61.251.82,100,163,1,2019-05-28 23:42:21,R_1Q0dBbHFQt3TnC4,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,Benjamin,,,,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,,,,,,,,DT,Conj_Right
2019-05-28 23:43:05,2019-05-28 23:43:53,0,171.61.251.82,100,47,1,2019-05-28 23:43:54,R_1dm2WwjLlbQA4w8,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,,Noah,,,,,,,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,,,,,,,,,,,,,DB,Conj_Left
2019-05-29 00:01:47,2019-05-29 00:03:44,0,122.164.41.19,100,116,1,2019-05-29 00:03:44,R_rl7mn0AP910c78l,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,Emma,,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,,,,,,,,DT,Conj_Left
2019-05-28 23:57:55,2019-05-29 00:04:33,0,184.59.231.92,100,397,1,2019-05-29 00:04:33,R_2cnJfLRbhgSQf73,,,,,44.2682037353515625,-88.4264984130859375,anonymous,EN,,,,Noah,,,,,,,1,1,1,2,2,88,17,0,1,88,23,100,1,0,,,,,,,,,,,,,,,,,,,,,,"B was needed for it to go through, in the other just A is enough",1,27,2,1,White,2,DB,Conj_Left
2019-05-29 00:10:14,2019-05-29 00:10:53,0,122.164.41.19,100,39,1,2019-05-29 00:10:54,R_3gXhWgywC8jU1ZO,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,"""It's a beautiful day, isn't it?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-29 00:08:54,2019-05-29 00:11:50,0,122.174.96.126,100,176,1,2019-05-29 00:11:51,R_XTaVABXZZU7ZfEJ,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,Emma,,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,DT,Conj_Right
2019-05-29 00:10:59,2019-05-29 00:12:13,0,122.164.41.19,100,73,1,2019-05-29 00:12:14,R_1MPXJkibitPUmTE,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,,," beautiful day",,,,,,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,DB,Conj_Left
2019-05-29 00:05:33,2019-05-29 00:18:58,0,76.105.14.4,100,805,1,2019-05-29 00:18:59,R_3NycTntFGfuYDk6,,,,,38.6840972900390625,-121.067596435546875,anonymous,EN,,,,,James,1,1,1,2,2,,,,,,,,,,,,,,,,16,82,0,1,18,82,100,2,,76,,,,,,,,,,,"I figured that Ben would not have fallen for the ""confirmation bias"" of Ball A having an 80% chance of being blocked.",1,54,2,1,Caucasian,2,DT,Conj_Right
2019-05-29 00:24:36,2019-05-29 00:27:47,0,68.193.158.173,100,190,1,2019-05-29 00:27:47,R_29cODE6S1xUW4tn,,,,,40.67529296875,-74.22750091552734375,anonymous,EN,,,,,james,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,,,,,,,,DT,Conj_Right
2019-05-29 00:27:51,2019-05-29 00:28:02,0,68.193.158.173,100,10,1,2019-05-29 00:28:03,R_czJazmQmW7k2N7r,,,,,40.67529296875,-74.22750091552734375,anonymous,EN,,,,noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-29 00:11:55,2019-05-29 00:38:12,0,122.174.96.126,100,1576,1,2019-05-29 00:38:13,R_21vLdzP2LuB73U7,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,,Noah,,1,1,1,2,2,,,,,,,,,,,,,,,,100,100,0,1,100,100,0,1,,91,,,,,,,,,,,"great time to take this,very interesting.",1,28,2,1,Asian,2,DT,Conj_Right
2019-05-29 00:29:47,2019-05-29 00:40:58,0,75.176.83.168,100,670,1,2019-05-29 00:40:58,R_332KQXzJFHBiX8G,,,,,33.973907470703125,-81.2344970703125,anonymous,EN,,,,,James,1,1,1,2,2,,,,,,,,,,,,,,,,0,100,0,1,3,51,97,2,,96,,,,,,,,,,,"Placement of Ball E is critical in determining if Ball A or Ball B created the given scenario.

Interesting study. Thank you.",1,48,2,1,White,2,DT,Conj_Right
2019-05-29 00:42:00,2019-05-29 00:49:58,0,108.233.81.229,100,477,1,2019-05-29 00:49:58,R_2wyshlhcrU9v324,,,,,37.752593994140625,-121.7700042724609375,anonymous,EN,,,,,James,1,1,1,2,2,,,,,,,,,,,,,,,,18,68,3,1,21,74,100,1,16,,,,,,,,,,,,"I figured that Ball B would go through the block each time, so whenever Ball E got pushed through the gate, I felt like Ball A was more responsible for the event (since odds were higher that Ball A would not make it through the block), particularly when both balls were needed. I assumed Ben would also give more credit to Ball A, especially if both balls were needed to push Ball E through the gate.",1,44,1,1,Caucasian,2,DT,Conj_Left
2019-05-29 01:01:20,2019-05-29 01:18:58,0,50.25.59.23,100,1058,1,2019-05-29 01:18:58,R_1jOrvxrKHDOhKpy,,,,,37.6902008056640625,-82.26419830322265625,anonymous,EN,,,,Noah,,,,,,,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,,,,,,,,,,,,,DB,Conj_Left
2019-05-29 01:46:44,2019-05-29 01:54:23,0,108.34.21.224,100,458,1,2019-05-29 01:54:24,R_2QMQJo8iKvT27fm,,,,,42.9766998291015625,-78.7958984375,anonymous,EN,,,,Noah,,,,,,,1,1,1,2,2,50,50,0,1,49,49,100,1,50,,,,,,,,,,,,,,,,,,,,,,"Your question about ""which sentence is more likely the case"" doesn't make any sense because in the first scenario, either one or both could hit in order for E to enter the goal, in the next, both must have hit for it to enter the goal.  In the last scenario, the same thing occurs.  I don't know exactly what you're testing but I can't give correct answers to your question if there isn't an answer that fits my thougths (i.e. neither of these are correct, or both were required).",1,32,2,1,Puerto Rican,1,DB,Conj_Left
2019-05-28 23:51:09,2019-05-29 00:02:27,0,104.139.47.242,99,677,0,2019-05-29 02:13:04,R_bEmmV4Xm1v1fsVH,,,,,,,anonymous,EN,,Benjamin,,,,,,,,,1,1,1,2,2,84,21,0,2,79,24,100,1,,100,,,,,,,,,,,,,,,,,,,,,None,1,30,2,1,Male,2,DB,Conj_Right
2019-05-28 23:31:16,2019-05-28 23:34:22,0,108.253.190.88,72,186,0,2019-05-29 02:13:10,R_cIvLH2GiFqAsMlH,,,,,,,anonymous,EN,Emma,,,,,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DT,Conj_Left
2019-05-28 23:32:58,2019-05-28 23:37:54,0,99.100.238.66,71,295,0,2019-05-29 02:13:30,R_UDuZu59vZX5bShj,,,,,,,anonymous,EN,Emma,,,,,,,,,,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,,,,,DB,Conj_Right
2019-05-28 23:58:58,2019-05-29 00:00:08,0,73.76.25.106,7,69,0,2019-05-29 02:13:32,R_2vhSgVu28r6mXI8,,,,,,,anonymous,EN,,,Ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DT,Conj_Right
2019-05-30 18:40:10,2019-05-30 18:45:02,0,104.176.6.160,100,292,1,2019-05-30 18:45:03,R_cA94aHuJdnH1se5,,,,,38.0684967041015625,-122.16139984130859375,anonymous,EN,,Benjamin,,,,1,1,1,2,2,,,,,,,,,,,,,,,,16,82,0,1,21,74,100,2,,82,,,,,,,,,,,"When the ball is moved closer so both balls are needed for E to go through the goal, then ball A has a bigger hurdle to overcome so the outcome more depends on A. ",1,32,2,1,32,2,DT,Conj_Right
2019-05-30 18:39:04,2019-05-30 18:45:32,0,24.175.68.0,100,388,1,2019-05-30 18:45:33,R_1jqzM3sWR9EQd2b,,,,,25.9243927001953125,-97.4626007080078125,anonymous,EN,,,,Noah,,1,1,1,2,2,,,,,,,,,,,,,,,,14,87,30,2,12,86,50,2,51,,,,,,,,,,,,They were both equally likely. No other comments.,1,25,1,1,White,1,DT,Conj_Left
2019-05-30 18:43:15,2019-05-30 18:46:22,0,98.247.72.61,100,187,1,2019-05-30 18:46:23,R_3iIFuRVbokaVFfx,,,,,47.62890625,-117.551300048828125,anonymous,EN,Emma,,,,,,,,,,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,,,,,,,,,,,,,DB,Conj_Left
2019-05-30 18:43:04,2019-05-30 18:47:04,0,64.132.43.68,100,240,1,2019-05-30 18:47:05,R_1mWoMFsGUUK2Nz8,,,,,35.9698028564453125,-79.99359893798828125,anonymous,EN,,,,,James,1,1,1,2,2,,,,,,,,,,,,,,,,17,78,1,1,14,82,81,2,,85,,,,,,,,,,,,1,30,2,1,White,2,DT,Conj_Right
2019-05-30 18:40:26,2019-05-30 18:47:18,0,73.245.243.87,100,411,1,2019-05-30 18:47:18,R_D1PgVNF8Dcf26d3,,,,,27.5885009765625,-80.392303466796875,anonymous,EN,,,,Noah,,2,1,1,2,2,,,,,,,,,,,,,,,,15,87,0,1,13,77,100,2,,50,,,,,,1,1,1,2,2,The fact that both scenes needed A to get through for E to make it.,1,35,2,1,white,2,DT,Conj_Right
2019-05-30 18:46:19,2019-05-30 18:47:25,0,122.174.105.88,100,65,1,2019-05-30 18:47:25,R_26m56Zjhd1NhNQT,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,,amelia is a girl talking with his noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-30 18:46:25,2019-05-30 18:48:15,0,98.247.72.61,100,109,1,2019-05-30 18:48:16,R_1kMLn4IL6umQ8SQ,,,,,47.62890625,-117.551300048828125,anonymous,EN,,Benjamin,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,,,,,,,,DT,Conj_Left
2019-05-30 18:46:23,2019-05-30 18:49:16,0,122.174.105.88,100,173,1,2019-05-30 18:49:16,R_1esYdt7gjmHdOHw,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-30 18:48:10,2019-05-30 18:49:47,0,157.50.93.5,100,97,1,2019-05-30 18:49:48,R_3kv9H3znfQ8lbCS,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,Prince William talks about the pain of losing his mother Diana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-30 18:49:55,2019-05-30 18:50:18,0,157.50.93.5,100,22,1,2019-05-30 18:50:19,R_1KmfmbIL235a4Zj,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-30 18:49:25,2019-05-30 18:50:31,0,122.174.105.88,100,65,1,2019-05-30 18:50:32,R_1H2fGOfUvrK3aOK,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,,computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-30 18:50:43,2019-05-30 18:51:15,0,157.50.93.5,100,32,1,2019-05-30 18:51:16,R_1dHcZ2RW2MArJc5,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,"William John Paul Gallagher (born 21 September 1972) is an English singer and songwriter. He rose to fame as the lead singer of the rock band Oasis, and later served as the singer of Beady Eye, before performing as a solo artist after the dissolution of both bands.[1][2] His eccentric dress sense, distinctive singing style, and abrasive attitude have been the subject of commentary in the press; he remains one of the most recognisable figures in modern British music.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-30 18:47:35,2019-05-30 18:52:46,0,40.130.207.175,100,310,1,2019-05-30 18:52:46,R_2V9doSEPWH1gKPu,,,,,34.9250946044921875,-80.7277984619140625,anonymous,EN,Emma,,,,,,,,,,1,1,1,2,2,91,27,0,2,86,38,100,2,,75,,,,,,,,,,,,,,,,,,,,,A lot of it had to do with Ball B as it was the one less likely to go through due to the strength of the motion block.  That was the factor I considered most strongly.  Thanks for the HIT!  I did my best and hope the data is useful!,1,44,2,1,Caucasian,2,DB,Conj_Right
2019-05-30 18:42:07,2019-05-30 18:54:06,0,157.49.166.40,100,718,1,2019-05-30 18:54:06,R_1q9VN7Tl17c3qro,,,,,12.983306884765625,77.58331298828125,anonymous,EN,,Benjamin,,,,,,,,,1,1,1,2,2,77,51,96,1,81,50,43,1,100,,,,,,,,,,,,,,,,,,,,,,,1,1984,2,1,"South Asian ",2,DB,Conj_Left
2019-05-30 18:44:34,2019-05-30 18:54:10,0,71.230.124.130,100,576,1,2019-05-30 18:54:11,R_2R9uxUMWmdlOIQS,,,,,39.9340057373046875,-75.160003662109375,anonymous,EN,Emma,,,,,,,,,,1,1,1,2,2,48,67,53,1,54,41,53,1,,54,,,,,,,,,,,,,,,,,,,,,No.,1,24,2,1,asian,2,DB,Conj_Right
2019-05-30 18:54:08,2019-05-30 19:00:02,0,47.202.104.105,100,353,1,2019-05-30 19:00:02,R_USKNGOE78y0xDDr,,,,,28.3636932373046875,-82.6759033203125,anonymous,EN,,,Ava,,,,,,,,1,1,1,2,2,79,57,0,2,71,28,100,1,,89,,,,,,,,,,,,,,,,,,,,,"When ball E was further from the gate and needed both balls to hit it in order to go through, it was more reliant on the ball behind the darker blockout gate. ",1,36,1,1,white,2,DB,Conj_Right
2019-05-30 18:54:40,2019-05-30 19:00:09,0,73.71.186.189,100,328,1,2019-05-30 19:00:09,R_1H1UiUQePiWZvL0,,,,,38.2407989501953125,-122.04199981689453125,anonymous,EN,,Benjamin,,,,,,,,,1,1,1,2,2,84,13,0,1,85,15,100,1,0,,,,,,,,,,,,,,,,,,,,,,"Nothing really, there was no discerning facts that could be used to garner where the ball was other than speculation.",1,38,2,1,White,2,DB,Conj_Left
2019-05-30 18:59:45,2019-05-30 19:05:41,0,76.0.62.209,100,356,1,2019-05-30 19:05:41,R_1dA1LNs4bTJyq1X,,,,,38.8177947998046875,-94.04620361328125,anonymous,EN,,,,Noah,,,,,,,1,2,1,2,2,81,15,1,2,83,20,98,2,,78,,,,,,,,,,,1,1,1,2,2,,,,,,If E were closer to the gate and any contact might have sent it through then B's contact would have been less important.,1,29,2,2,,2,DB,Conj_Right
